distance,day
2.2534926754439117E11,602
2.2453568911106686E11,603
2.2372448619162137E11,604
2.2291459506490106E11,605
2.221049578533243E11,606
2.21297605237292E11,607
2.204904499427842E11,608
2.196855147361557E11,609
2.1888071693616583E11,610
2.1807807178277887E11,611
2.1727550093570978E11,612
2.1647501251466156E11,613
2.156745322561253E11,614
2.1487606158331772E11,615
2.140785453847744E11,616
2.1328093277478262E11,617
2.124852159648679E11,618
2.116893296525077E11,619
2.108952604838799E11,620
2.1010094622253525E11,621
2.09308368428263E11,622
2.0851546762053226E11,623
2.0772422076554852E11,624
2.069325708206966E11,625
2.06142490664221E11,626
2.053529308611446E11,627
2.0456284423505988E11,628
2.03774198507108E11,629
2.0298494129405298E11,630
2.0219703754302054E11,631
2.0140843614690247E11,632
2.0062109982187952E11,633
1.9983297839514453E11,634
1.9904603290346527E11,635
1.9825821376404102E11,636
1.9747148089315454E11,637
1.9668478710423813E11,638
1.958970853028296E11,639
1.9511033478616824E11,640
1.9432248593432086E11,641
1.9353549834677426E11,642
1.927473217857127E11,643
1.9195991672942E11,644
1.9117123198113614E11,645
1.9038322947709235E11,646
1.8959385672472733E11,647
1.8880507769881836E11,648
1.8801584398170544E11,649
1.8722510506148453E11,650
1.2745318121795128E11,651
1.2433617402899814E11,652
1.2094973616755402E11,653
1.1723513167367992E11,654
1.131353488702115E11,655
1.0854883221291415E11,656
1.0335788555019423E11,657
9.735524763282684E10,658
9.024505710348944E10,659
8.14684690042461E10,660
6.986358508064688E10,661
5.229492388841012E10,662
2.6756755111768528E10,663
2.707006228603341E9,664
1.9512519155844032E10,665
3.925074901715074E10,666
5.229729050763668E10,667
4.779409676190427E10,668
2.5214167207066113E10,669
1.9056718191227936E10,670
3.641799581277735E10,671
6.413023190438352E10,672
9.346885893761969E10,673
1.1851965596701779E11,674
1.3841331038122086E11,675
1.645510446620995E11,676
1.6554399661825436E11,677
1.6399275803430667E11,678
1.5854035172468054E11,679
1.6308094799633865E11,680
1.622566616466875E11,681
1.6143080439247513E11,682
1.606022691894601E11,683
1.597731080389378E11,684
1.5894119937938858E11,685
1.581086908943373E11,686
1.5727348519534546E11,687
1.564377119517671E11,688
1.5559895170843732E11,689
1.5475962826920004E11,690
1.3659299332568404E11,691
1.3443595570257918E11,692
1.3153493825104283E11,693
1.2840344170074945E11,694
1.2523847227728148E11,695
1.2208510729334091E11,696
1.1895727276853682E11,697
1.1583939311444344E11,698
1.1272943992443944E11,699
1.09610132676052E11,700
1.0648107910363185E11,701
1.0332670543023143E11,702
1.0014785165701955E11,703
9.693348101678351E10,704
9.367234101706859E10,705
9.036551396067874E10,706
8.699718093528159E10,707
8.356842024047003E10,708
8.00630645011457E10,709
7.648309338870267E10,710
7.281370749342235E10,711
6.906129663452357E10,712
6.521858269699103E10,713
6.1306760757144394E10,714
5.734650794306015E10,715
5.337598823237582E10,716
4.9463394478910515E10,717
4.5659780639389786E10,718
4.202393715205014E10,719
3.857664826146027E10,720
3.533912507328628E10,721
3.2303346733108414E10,722
2.947010568762947E10,723
2.6821597301992615E10,724
2.435250522621586E10,725
2.2047031788984028E10,726
1.9890597905495945E10,727
1.7877457887667397E10,728
1.599207586254098E10,729
1.4229736312785904E10,730
1.2577274870542418E10,731
1.103103875203763E10,732
9.579957180413956E9,733
8.221273894098044E9,734
6.945673012704768E9,735
5.751097029193614E9,736
4.63105487499361E9,737
3.5798654416094646E9,738
2.5961934361377935E9,739
1.673853640394904E9,740
8.118189990845598E8,741
4832567.303437374,742
7.47764893455265E8,743
1.4510789288645158E9,744
2.105548267461094E9,745
2.7152037597114697E9,746
3.280729189664744E9,747
3.8050616919150896E9,748
4.2908524065592165E9,749
